Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.044633771,1.29904368758062e-19,31518,-7.31E-16,overall_sylls_freq_range_Hz,3.28179457915103e-19
GREAT PLAINS_NORTH AMERICAN DESERTS,0.196994862,7.02305740363471e-185,22338,-7.31E-16,overall_sylls_freq_range_Hz,4.0452810644936e-183
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.033703464,1.13484026753378e-09,25398,-7.31E-16,overall_sylls_freq_range_Hz,1.88921385577878e-09
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,-0.000726384,0.919978079,13158,-7.31E-16,overall_sylls_freq_range_Hz,0.929662059
GREAT PLAINS_TEMPERATE SIERRAS,-0.2106368,2.16751959329095e-288,16983,-7.31E-16,overall_sylls_freq_range_Hz,6.24245642867794e-286
GREAT PLAINS_TROPICAL DRY FORESTS,-0.309269746,5.01278526111597e-78,1530,-7.31E-16,overall_sylls_freq_range_Hz,3.90184366270648e-77
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.036766166,2.17201619273527e-09,21321,-7.31E-16,overall_sylls_freq_range_Hz,3.57451807718718e-09
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.033024229,2.3058613677602e-14,42642,-7.31E-16,overall_sylls_freq_range_Hz,4.67667657686576e-14
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.187082002,1.05740049727541e-238,30222,-7.31E-16,overall_sylls_freq_range_Hz,1.01510447738439e-236
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.014271903,0.002818046,34362,-7.31E-16,overall_sylls_freq_range_Hz,0.00374008
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.069808735,3.60385173249645e-25,17802,-7.31E-16,overall_sylls_freq_range_Hz,1.01755813623429e-24
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.166029634,3.53475600278296e-209,22977,-7.31E-16,overall_sylls_freq_range_Hz,2.54502432200373e-207
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.27666322,5.15466624035616e-70,2070,-7.31E-16,overall_sylls_freq_range_Hz,3.71135969305643e-69
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,0.00727088,0.238856047,21115,-7.31E-16,overall_sylls_freq_range_Hz,0.260570233
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.210084224,4.07977284086844e-280,30076,-7.31E-16,overall_sylls_freq_range_Hz,5.87487289085055e-278
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,0.025425421,1.59797137487292e-07,34196,-7.31E-16,overall_sylls_freq_range_Hz,2.47427825786774e-07
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,0.016389859,0.012153206,17716,-7.31E-16,overall_sylls_freq_range_Hz,0.015487271
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.078888317,2.63168067294966e-42,22866,-7.31E-16,overall_sylls_freq_range_Hz,1.08274861972786e-41
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,-0.329738638,1.37159696686137e-130,2060,-7.31E-16,overall_sylls_freq_range_Hz,3.59109024050976e-129
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.234681464,3.71100211972988e-128,10585,-7.31E-16,overall_sylls_freq_range_Hz,8.90640508735171e-127
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.05907084,1.15548034081328e-25,24236,-7.31E-16,overall_sylls_freq_range_Hz,3.39569732810432e-25
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,0.007451373,0.339387875,12556,-7.31E-16,overall_sylls_freq_range_Hz,0.355431666
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.094214183,1.27039684580974e-45,16206,-7.31E-16,overall_sylls_freq_range_Hz,5.46081032228664e-45
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.358346627,1.54326942940296e-117,1460,-7.31E-16,overall_sylls_freq_range_Hz,2.96307730445369e-116
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.011818995,0.102540288,13695,-7.31E-16,overall_sylls_freq_range_Hz,0.114908961
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,0.038649651,4.83519056944918e-07,14276,-7.31E-16,overall_sylls_freq_range_Hz,7.32913096842824e-07
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.15971821,1.268503195034e-155,18426,-7.31E-16,overall_sylls_freq_range_Hz,4.5666115021224e-154
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.322705381,2.50711302909365e-101,1660,-7.31E-16,overall_sylls_freq_range_Hz,3.13934153208248e-100
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,-0.008479595,0.520212556,3655,-7.31E-16,overall_sylls_freq_range_Hz,0.535075772
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.173829647,6.91129325218217e-105,9546,-7.31E-16,overall_sylls_freq_range_Hz,9.04751116649302e-104
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.31959277,3.60538901331645e-53,860,-7.31E-16,overall_sylls_freq_range_Hz,1.7305867263919e-52
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.167972007,2.14526250387955e-59,6105,-7.31E-16,overall_sylls_freq_range_Hz,1.23567120223462e-58
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.329740973,7.23415540256939e-65,1110,-7.31E-16,overall_sylls_freq_range_Hz,4.73508353622724e-64
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,-0.15709147,0.080128939,45,-7.31E-16,overall_sylls_freq_range_Hz,0.09121397
GREAT PLAINS_GREAT PLAINS,0.197542427,3.55608017651198e-118,11628,5.15964195506718e-16,largest_sylls_freq_range_Hz,7.31536493453893e-117
GREAT PLAINS_MARINE WEST COAST FOREST,0.101497413,6.69631699423438e-85,31671,5.15964195506718e-16,largest_sylls_freq_range_Hz,6.02668529481094e-84
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.043296665,6.07121785628943e-20,31518,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.54735463947908e-19
GREAT PLAINS_NORTH AMERICAN DESERTS,0.101864584,3.57199759365465e-54,22338,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.74361916436023e-53
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,-0.026762538,7.8051799221422e-07,25398,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.15870712246235e-06
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,-0.067889416,1.29502361510745e-20,13158,5.15964195506718e-16,largest_sylls_freq_range_Hz,3.3906072831904e-20
GREAT PLAINS_TEMPERATE SIERRAS,-0.108889631,2.05049421488012e-75,16983,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.51421111252686e-74
GREAT PLAINS_TROPICAL DRY FORESTS,-0.16102099,7.87495554526829e-18,1530,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.92202304833667e-17
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,0.095020651,1.37280789843376e-51,21321,5.15964195506718e-16,largest_sylls_freq_range_Hz,6.48145368440855e-51
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.043062093,1.73283572560533e-25,42642,5.15964195506718e-16,largest_sylls_freq_range_Hz,5.0409766563064e-25
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.112648411,2.10553976846287e-89,30222,5.15964195506718e-16,largest_sylls_freq_range_Hz,2.16569804756181e-88
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,-0.028253585,1.86176570901421e-09,34362,5.15964195506718e-16,largest_sylls_freq_range_Hz,3.08154324250627e-09
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,-0.045447913,1.6819363927354e-12,17802,5.15964195506718e-16,largest_sylls_freq_range_Hz,3.14543948771296e-12
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.07239778,1.29004907387782e-40,22977,5.15964195506718e-16,largest_sylls_freq_range_Hz,5.08950867502482e-40
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,0.035200751,0.049841953,2070,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.059316044
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,-0.010330453,0.078359611,21115,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.089553841
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.107621776,3.14519625540206e-81,30076,5.15964195506718e-16,largest_sylls_freq_range_Hz,2.66416623986998e-80
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,-0.008668458,0.072353835,34196,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.083351618
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,-0.037009976,9.61760651368093e-09,17716,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.55610712131467e-08
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.035817597,2.03472300472242e-10,22866,5.15964195506718e-16,largest_sylls_freq_range_Hz,3.48809657952415e-10
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,0.044500769,0.016389727,2060,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.020258546
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.128237596,8.96153462946176e-42,10585,5.15964195506718e-16,largest_sylls_freq_range_Hz,3.63510137082393e-41
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,-0.014311243,0.011392392,24236,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.014647361
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,-0.053278505,3.45070021949591e-12,12556,5.15964195506718e-16,largest_sylls_freq_range_Hz,6.32994689945746e-12
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.023877353,0.000409331,16206,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.000564054
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.140760906,6.56520395515274e-14,1460,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.31304079103055e-13
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,-0.036819935,7.31755620228753e-07,13695,5.15964195506718e-16,largest_sylls_freq_range_Hz,1.09194621049679e-06
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,-0.025356306,0.000631721,14276,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.000858187
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.072018441,6.34990804672096e-31,18426,5.15964195506718e-16,largest_sylls_freq_range_Hz,2.10203852581108e-30
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.033201078,0.087455301,1660,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.098773046
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,-0.064155887,1.65702561684626e-06,3655,5.15964195506718e-16,largest_sylls_freq_range_Hz,2.43481315128431e-06
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.103394257,7.88676900481965e-39,9546,5.15964195506718e-16,largest_sylls_freq_range_Hz,2.91203778639495e-38
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.063335567,0.011777077,860,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.015074658
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.078561499,2.95040954528495e-15,6105,5.15964195506718e-16,largest_sylls_freq_range_Hz,6.38885675971478e-15
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.070024442,0.002985967,1110,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.003944764
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,0.353963683,0.013068348,45,5.15964195506718e-16,largest_sylls_freq_range_Hz,0.016507387
GREAT PLAINS_GREAT PLAINS,0.061068451,2.1120813125776e-12,11628,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.92438334207967e-12
GREAT PLAINS_MARINE WEST COAST FOREST,-0.037193626,1.7042015048994e-15,31671,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.74664147642006e-15
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,0.009612913,0.053157229,31518,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.06300116
GREAT PLAINS_NORTH AMERICAN DESERTS,0.011749233,0.046112171,22338,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.055105001
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.01005805,0.067997284,25398,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.079318346
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,0.111681514,9.26361134758428e-45,13158,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.92341186485923e-44
GREAT PLAINS_TEMPERATE SIERRAS,-0.059965544,1.27153821837907e-20,16983,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.35966061369882e-20
GREAT PLAINS_TROPICAL DRY FORESTS,-0.1492532,9.80237591884136e-14,1530,1.35501505285644e-16,smallest_sylls_freq_range_Hz,1.93361935933309e-13
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.059217068,9.53112059082431e-27,21321,1.35501505285644e-16,smallest_sylls_freq_range_Hz,2.85933617724729e-26
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.020950695,6.49476723087035e-07,42642,1.35501505285644e-16,smallest_sylls_freq_range_Hz,9.74215084630552e-07
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.01963979,9.62603355431844e-05,30222,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.000134578
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,-0.002791124,0.559421794,34362,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.573357568
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.089990488,1.39303684839296e-39,17802,1.35501505285644e-16,smallest_sylls_freq_range_Hz,5.27887647812068e-39
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.063102996,2.17195616771494e-28,22977,1.35501505285644e-16,smallest_sylls_freq_range_Hz,6.72605780969787e-28
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.097470103,8.30981607305582e-08,2070,1.35501505285644e-16,smallest_sylls_freq_range_Hz,1.30777433280878e-07
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,0.010924258,0.06881343,21115,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.07991237
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.063000935,1.10491824774608e-32,30076,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.83393319699843e-32
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,-0.005469981,0.253759781,34196,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.272697078
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,0.052257943,2.07830381092849e-14,17716,1.35501505285644e-16,smallest_sylls_freq_range_Hz,4.24504608189649e-14
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.110187911,5.17972804679801e-87,22866,1.35501505285644e-16,smallest_sylls_freq_range_Hz,4.81213444347686e-86
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,0.0656644,0.001844322,2060,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.002470533
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.028002558,0.001353365,10585,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.001821352
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.028460408,6.31891553795968e-07,24236,1.35501505285644e-16,smallest_sylls_freq_range_Hz,9.52799829807533e-07
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,0.057502273,4.34987274499492e-13,12556,1.35501505285644e-16,smallest_sylls_freq_range_Hz,8.35175567039025e-13
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.058599276,2.27775662183484e-18,16206,1.35501505285644e-16,smallest_sylls_freq_range_Hz,5.60678553067038e-18
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.152342676,1.24213365966674e-12,1460,1.35501505285644e-16,smallest_sylls_freq_range_Hz,2.33813394760799e-12
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.087566792,1.16963082929892e-29,13695,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.66145303084879e-29
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,0.083714484,4.48355245767248e-30,14276,1.35501505285644e-16,smallest_sylls_freq_range_Hz,1.43473678645519e-29
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.09718531,6.66043946110057e-58,18426,1.35501505285644e-16,smallest_sylls_freq_range_Hz,3.61925766942824e-57
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.140416246,3.30528111666782e-12,1660,1.35501505285644e-16,smallest_sylls_freq_range_Hz,6.10205744615598e-12
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,0.095206785,5.44777813004707e-11,3655,1.35501505285644e-16,smallest_sylls_freq_range_Hz,9.50884909971851e-11
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.090803366,1.60870997096184e-27,9546,1.35501505285644e-16,smallest_sylls_freq_range_Hz,4.92881352805329e-27
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,0.098414754,0.002671347,860,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.003561795
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.026502526,0.016052712,6105,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.020013771
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,0.291888526,2.83620746669994e-21,1110,1.35501505285644e-16,smallest_sylls_freq_range_Hz,7.56321991119984e-21
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,0.391882714,0.027322712,45,1.35501505285644e-16,smallest_sylls_freq_range_Hz,0.033202283
GREAT PLAINS_GREAT PLAINS,0.096262658,5.82124869223341e-30,11628,-3.76E-16,avg_sylls_freq_range_Hz,1.8423292564431e-29
GREAT PLAINS_MARINE WEST COAST FOREST,-0.039663508,1.66860237923297e-17,31671,-3.76E-16,avg_sylls_freq_range_Hz,4.00464571015913e-17
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.022706069,2.25067296283527e-06,31518,-3.76E-16,avg_sylls_freq_range_Hz,3.29032392536323e-06
GREAT PLAINS_NORTH AMERICAN DESERTS,0.105857037,9.97490224394738e-59,22338,-3.76E-16,avg_sylls_freq_range_Hz,5.63288597305264e-58
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.008876157,0.107276621,25398,-3.76E-16,avg_sylls_freq_range_Hz,0.119750646
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,0.119856374,2.23208652290665e-46,13158,-3.76E-16,avg_sylls_freq_range_Hz,9.7400139181381e-46
GREAT PLAINS_TEMPERATE SIERRAS,-0.120031975,6.90387319922735e-93,16983,-3.76E-16,avg_sylls_freq_range_Hz,7.64736723606722e-92
GREAT PLAINS_TROPICAL DRY FORESTS,-0.163556934,2.25253731683715e-16,1530,-3.76E-16,avg_sylls_freq_range_Hz,5.18984597799279e-16
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.039496378,4.86775748914573e-12,21321,-3.76E-16,avg_sylls_freq_range_Hz,8.87287441059474e-12
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.046795783,2.82150117353938e-30,42642,-3.76E-16,avg_sylls_freq_range_Hz,9.13025098853193e-30
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.09712313,6.53904758621706e-69,30222,-3.76E-16,avg_sylls_freq_range_Hz,4.48391834483455e-68
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,-0.016899755,0.000296705,34362,-3.76E-16,avg_sylls_freq_range_Hz,0.000410822
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.094918504,7.69969726586157e-39,17802,-3.76E-16,avg_sylls_freq_range_Hz,2.879886769569e-38
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.1037495,7.46178374658711e-88,22977,-3.76E-16,avg_sylls_freq_range_Hz,7.16331239672362e-87
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.032693249,0.100413546,2070,-3.76E-16,avg_sylls_freq_range_Hz,0.112965239
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,-0.001895937,0.747390622,21115,-3.76E-16,avg_sylls_freq_range_Hz,0.760595403
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.125408157,6.93904382490426e-109,30076,-3.76E-16,avg_sylls_freq_range_Hz,9.5164029598687e-108
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,0.007303262,0.134258567,34196,-3.76E-16,avg_sylls_freq_range_Hz,0.148717181
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,-0.007584679,0.251596848,17716,-3.76E-16,avg_sylls_freq_range_Hz,0.271385364
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.115349899,5.54441092831571e-109,22866,-3.76E-16,avg_sylls_freq_range_Hz,7.98395173677462e-108
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,0.136295054,8.30301244032571e-09,2060,-3.76E-16,avg_sylls_freq_range_Hz,1.35099863435808e-08
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.09738659,1.90394144934303e-25,10585,-3.76E-16,avg_sylls_freq_range_Hz,5.48335137410791e-25
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.032907313,1.31142425795686e-08,24236,-3.76E-16,avg_sylls_freq_range_Hz,2.11000104073505e-08
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,-0.011395704,0.13091429,12556,-3.76E-16,avg_sylls_freq_range_Hz,0.145572646
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.060643473,1.02442779689134e-21,16206,-3.76E-16,avg_sylls_freq_range_Hz,2.78335099532741e-21
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.149828395,1.13017361530857e-14,1460,-3.76E-16,avg_sylls_freq_range_Hz,2.39330883241815e-14
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.061880449,1.75825285475903e-15,13695,-3.76E-16,avg_sylls_freq_range_Hz,3.83618804674697e-15
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,0.095928086,6.93777451403573e-35,14276,-3.76E-16,avg_sylls_freq_range_Hz,2.46676427165715e-34
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.102249764,1.71392813533842e-69,18426,-3.76E-16,avg_sylls_freq_range_Hz,1.20393000726211e-68
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.138885859,1.99774605746787e-16,1660,-3.76E-16,avg_sylls_freq_range_Hz,4.63992632702215e-16
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,0.159925234,7.85571613132031e-25,3655,-3.76E-16,avg_sylls_freq_range_Hz,2.19654975322354e-24
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.143896809,1.05023429900321e-78,9546,-3.76E-16,avg_sylls_freq_range_Hz,8.64192794608357e-78
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.155041729,9.76622987700673e-10,860,-3.76E-16,avg_sylls_freq_range_Hz,1.64483871612745e-09
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.129150246,1.39126687009701e-41,6105,-3.76E-16,avg_sylls_freq_range_Hz,5.56506748038804e-41
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.144085587,3.34860693531656e-10,1110,-3.76E-16,avg_sylls_freq_range_Hz,5.70650175959272e-10
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,0.29741806,0.068026498,45,-3.76E-16,avg_sylls_freq_range_Hz,0.079318346