Ecoregion,Feature,SampleSize,Mantel_r_obs,Mean_r_null,SD_r_null,P_value,P_value_adj
GREAT PLAINS,avg_sylls_upper_freq_Hz,153,0.070563104,0.037694234,0.041062607,0.218218218,1
MARINE WEST COAST FOREST,avg_sylls_upper_freq_Hz,207,0.114119162,0.037037409,0.034324489,0.018018018,0.640640641
MEDITERRANEAN CALIFORNIA,avg_sylls_upper_freq_Hz,206,0.006271301,0.039487426,0.034241278,0.835835836,1
NORTH AMERICAN DESERTS,avg_sylls_upper_freq_Hz,146,-0.033747164,0.037764567,0.043234721,0.978978979,1
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_upper_freq_Hz,166,-0.002557044,0.038855476,0.039251613,0.841841842,1
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_upper_freq_Hz,86,-0.028219458,0.039847081,0.057658116,0.908908909,1
TEMPERATE SIERRAS,avg_sylls_upper_freq_Hz,111,0.020906874,0.037329679,0.048814884,0.575575576,1
TROPICAL DRY FORESTS,avg_sylls_upper_freq_Hz,10,0.062336724,0.026040402,0.191380057,0.36036036,1
GREAT PLAINS,avg_sylls_lower_freq_Hz,153,0.049856665,0.013360076,0.034573602,0.144144144,1
MARINE WEST COAST FOREST,avg_sylls_lower_freq_Hz,207,-0.004371486,0.013201114,0.028580453,0.717717718,1
MEDITERRANEAN CALIFORNIA,avg_sylls_lower_freq_Hz,206,0.01791657,0.012572146,0.028783859,0.415415415,1
NORTH AMERICAN DESERTS,avg_sylls_lower_freq_Hz,146,0.073085002,0.011199207,0.034469352,0.044044044,0.640640641
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_lower_freq_Hz,166,0.004090165,0.011567946,0.033926244,0.558558559,1
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_lower_freq_Hz,86,0.054652474,0.013593047,0.050664183,0.198198198,1
TEMPERATE SIERRAS,avg_sylls_lower_freq_Hz,111,0.028153063,0.01103052,0.042798089,0.329329329,1
TROPICAL DRY FORESTS,avg_sylls_lower_freq_Hz,10,-0.139867587,-0.002630603,0.17789206,0.768768769,1
GREAT PLAINS,max_sylls_freq_Hz,153,0.108039132,0.132596684,0.051822123,0.65965966,1
MARINE WEST COAST FOREST,max_sylls_freq_Hz,207,0.063087248,0.12996796,0.042129672,0.948948949,1
MEDITERRANEAN CALIFORNIA,max_sylls_freq_Hz,206,0.00038232,0.129913968,0.043988109,0.998998999,1
NORTH AMERICAN DESERTS,max_sylls_freq_Hz,146,0.018426522,0.131633459,0.053652281,0.993993994,1
NORTHWESTERN FORESTED MOUNTAINS,max_sylls_freq_Hz,166,0.183716561,0.131267344,0.051017617,0.152152152,1
SOUTHERN SEMIARID HIGHLANDS,max_sylls_freq_Hz,86,-0.022227998,0.128358657,0.068781942,0.996996997,1
TEMPERATE SIERRAS,max_sylls_freq_Hz,111,0.055783444,0.132954276,0.064300104,0.900900901,1
TROPICAL DRY FORESTS,max_sylls_freq_Hz,10,0.157743908,0.127759713,0.2236477,0.405405405,1
GREAT PLAINS,min_sylls_freq_Hz,153,0.07482561,0.090935708,0.051197789,0.605605606,1
MARINE WEST COAST FOREST,min_sylls_freq_Hz,207,-0.026037246,0.087566262,0.042960793,1,1
MEDITERRANEAN CALIFORNIA,min_sylls_freq_Hz,206,0.035021793,0.088530261,0.041810918,0.8998999,1
NORTH AMERICAN DESERTS,min_sylls_freq_Hz,146,0.03039777,0.083344606,0.048850053,0.862862863,1
NORTHWESTERN FORESTED MOUNTAINS,min_sylls_freq_Hz,166,0.013822784,0.088817173,0.046640251,0.957957958,1
SOUTHERN SEMIARID HIGHLANDS,min_sylls_freq_Hz,86,0.067232896,0.09015132,0.071802534,0.591591592,1
TEMPERATE SIERRAS,min_sylls_freq_Hz,111,0.031942774,0.085858941,0.060105308,0.808808809,1
TROPICAL DRY FORESTS,min_sylls_freq_Hz,10,-0.271418588,0.079283364,0.225673966,0.981981982,1
GREAT PLAINS,overall_sylls_freq_range_Hz,153,0.096163462,0.153502151,0.048235336,0.881881882,1
MARINE WEST COAST FOREST,overall_sylls_freq_range_Hz,207,0.023311398,0.152292728,0.039468788,1,1
MEDITERRANEAN CALIFORNIA,overall_sylls_freq_range_Hz,206,0.016856408,0.153845934,0.039774635,1,1
NORTH AMERICAN DESERTS,overall_sylls_freq_range_Hz,146,0.053582191,0.153796829,0.050420994,0.983983984,1
NORTHWESTERN FORESTED MOUNTAINS,overall_sylls_freq_range_Hz,166,0.229544369,0.149811107,0.04686023,0.05005005,0.640640641
SOUTHERN SEMIARID HIGHLANDS,overall_sylls_freq_range_Hz,86,-0.030553818,0.154725228,0.066399478,1,1
TEMPERATE SIERRAS,overall_sylls_freq_range_Hz,111,0.0457333,0.153124517,0.058354033,0.980980981,1
TROPICAL DRY FORESTS,overall_sylls_freq_range_Hz,10,0.069123453,0.166883287,0.225770624,0.638638639,1
GREAT PLAINS,largest_sylls_freq_range_Hz,153,0.043275727,0.071939282,0.042107759,0.734734735,1
MARINE WEST COAST FOREST,largest_sylls_freq_range_Hz,207,0.043811719,0.07020687,0.035891096,0.761761762,1
MEDITERRANEAN CALIFORNIA,largest_sylls_freq_range_Hz,206,0.005416767,0.073302559,0.036436739,0.977977978,1
NORTH AMERICAN DESERTS,largest_sylls_freq_range_Hz,146,-0.06651343,0.073578854,0.045167898,1,1
NORTHWESTERN FORESTED MOUNTAINS,largest_sylls_freq_range_Hz,166,0.049927303,0.071984001,0.041339592,0.694694695,1
SOUTHERN SEMIARID HIGHLANDS,largest_sylls_freq_range_Hz,86,0.01318178,0.073264766,0.062185243,0.826826827,1
TEMPERATE SIERRAS,largest_sylls_freq_range_Hz,111,0.078718257,0.07552246,0.05328086,0.472472472,1
TROPICAL DRY FORESTS,largest_sylls_freq_range_Hz,10,-0.243045015,0.069915034,0.208431998,0.976976977,1
GREAT PLAINS,smallest_sylls_freq_range_Hz,153,0.075602916,0.009934452,0.033247821,0.035035035,0.640640641
MARINE WEST COAST FOREST,smallest_sylls_freq_range_Hz,207,-0.001295876,0.010589576,0.029704232,0.636636637,1
MEDITERRANEAN CALIFORNIA,smallest_sylls_freq_range_Hz,206,0.004331588,0.011211739,0.027866883,0.571571572,1
NORTH AMERICAN DESERTS,smallest_sylls_freq_range_Hz,146,0.011503786,0.012163825,0.034348769,0.477477477,1
NORTHWESTERN FORESTED MOUNTAINS,smallest_sylls_freq_range_Hz,166,0.07907489,0.013070723,0.033004572,0.034034034,0.640640641
SOUTHERN SEMIARID HIGHLANDS,smallest_sylls_freq_range_Hz,86,0.030751608,0.011509205,0.047662808,0.323323323,1
TEMPERATE SIERRAS,smallest_sylls_freq_range_Hz,111,0.019272068,0.011094172,0.041635818,0.393393393,1
TROPICAL DRY FORESTS,smallest_sylls_freq_range_Hz,10,0.204076168,0.018577003,0.190097659,0.166166166,1
GREAT PLAINS,avg_sylls_freq_range_Hz,153,0.0354583,0.035491394,0.044153869,0.464464464,1
MARINE WEST COAST FOREST,avg_sylls_freq_range_Hz,207,0.063917411,0.035649605,0.035619484,0.216216216,1
MEDITERRANEAN CALIFORNIA,avg_sylls_freq_range_Hz,206,0.004397126,0.033985515,0.03465382,0.794794795,1
NORTH AMERICAN DESERTS,avg_sylls_freq_range_Hz,146,-0.014312446,0.029551868,0.043445261,0.842842843,1
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_freq_range_Hz,166,0.064850546,0.031761566,0.041057728,0.203203203,1
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_freq_range_Hz,86,0.063479589,0.034026566,0.058726354,0.282282282,1
TEMPERATE SIERRAS,avg_sylls_freq_range_Hz,111,0.055903984,0.035236386,0.05033172,0.309309309,1
TROPICAL DRY FORESTS,avg_sylls_freq_range_Hz,10,-0.253930331,0.015489636,0.181477991,0.984984985,1